"Sample","keff","keff_err","latitude","longitude","altitude_m","depth_m","water_percent","water_err","U_ppm","U_err","Th_ppm","Th_err","K_percent","K_err","cosmicray","cosmicray.err","alpha","alpha.err","beta","beta.err","gamma","gamma.err","doserate_Gyperka","doserate.err"
"LUM4523",0.139,0.003,42.45,13.27,889,1000,0,1,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077,3.04887861886449e-06,3.04887861886449e-07,0.22105290235,0.00805181206089535,0.09235824,0.00254275029707854,0.07072947,0.00189389492621461,0.384143661228619,0.00865355965032719
"LUM4524",0.167,0.003,42.45,13.27,889,1000,0,1,1.0756,0.005,0.2487,0.0063,0.02677,0.00136,3.04887861886449e-06,3.04887861886449e-07,0.53232369735,0.01262310966025,0.185214737,0.00272560774735952,0.138901696,0.00176180621947247,0.856443179228619,0.0130336409469914
"LUM4525",0.162,0.003,42.45,13.27,853,1000,0,1,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063,3.02762779836776e-06,3.02762779836776e-07,0.4188894183,0.0110879468922768,0.145767836,0.0025142325554704,0.111173518,0.00179496384477803,0.675833799927798,0.0115102487777052
"LUM4526",0.147,0.003,42.45,13.27,853,1000,0,1,0.5899,0.009,0.1186,0.002,0.0096,0.00026,3.02762779836776e-06,3.02762779836776e-07,0.2550535554,0.00739555238777724,0.09701847,0.00182407699370785,0.07405356,0.00132615524662146,0.426128613027798,0.00773176175455108
"LUM4771",0.165,0.003,42.45,13.27,853,1000,0,1,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012,3.02762779836776e-06,3.02762779836776e-07,0.31712969475,0.00977322314015591,0.101623143,0.00235524456447356,0.078762624,0.00176053347836726,0.497518489377798,0.010206005375556
"LUM4773",0.165,0.003,42.45,13.27,868,1000,0,1,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015,3.03645963629383e-06,3.03645963629383e-07,0.66211539075,0.0204493921477303,0.210622423,0.00491870814900972,0.163786904,0.00368160969810582,1.03652775420964,0.0213524138946437
"LUM4774",0.096,0.003,42.45,13.27,928,1000,0,1,0.4694,0.0094,0.0219,0.0011,0.00208,1e-04,3.072111884449e-06,3.072111884449e-07,0.1274098032,0.00509652521790406,0.070753998,0.00164776486567706,0.054051894,0.00122420752943059,0.252218767311884,0.00549439555536231
"LUM4775",0.095,0.003,42.45,13.27,875,1000,0,1,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011,3.04059223145163e-06,3.04059223145163e-07,0.12089519975,0.00482650459020487,0.067873204,0.00156757006472167,0.052169942,0.00116711029206794,0.240941386342231,0.00520716515902685
"LUM4532",0.104,0.003,42.45,13.27,775,1000,0,1,0.7044,0.0045,0.0561,0.0025,0.0077,4e-04,2.98221950219949e-06,2.98221950219949e-07,0.2089113468,0.00690789932329464,0.11048318,0.00159708538465546,0.08337379,0.00109874067960141,0.402771299019502,0.00717474640364396
"LUM4772",0.104,0.003,42.45,13.27,775,1000,0,1,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017,2.98221950219949e-06,2.98221950219949e-07,0.1773758324,0.00645616291228082,0.089909814,0.00203658303393813,0.072397662,0.00157340356203998,0.339686290619502,0.00695020207346603
"LUM4778",0.115,0.003,42.45,13.27,775,1000,0,1,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015,2.98221950219949e-06,2.98221950219949e-07,0.20555987225,0.00723957049797546,0.094442926,0.00216532954831401,0.074483858,0.00163786972613613,0.374489638469502,0.00773192410572478
"LUM4779",0.098,0.003,42.45,13.27,800,1000,0,1,0.3323,0.0066,0.0163,8e-04,0.00199,1e-04,2.99667948280956e-06,2.99667948280956e-07,0.0921332447,0.0036314681406576,0.050525009,0.00116427543555502,0.038432272,0.000862641695875764,0.181093522379483,0.00390989116622346
"LUM4780",0.126,0.003,50.43,11.02,500,10,0.01,0.01,0.42,0.02,0.0071,5e-04,0.00764,0.0006528,0.0700901620116816,0.00700901620116816,0.148443061040844,0.00791107375629799,0.0675852058492688,0.00297063875685521,0.0492003731574601,0.00224408469125892,0.335318802059254,0.0112058916116076
"LUM4346",0.126,0.003,50.43,11.02,500,10,0.01,0.01,0.65,0.03,0.0254,0.0011,0.00768,0.00042755,0.0700901620116816,0.00700901620116816,0.231072334149878,0.0119465831361488,0.101673238845144,0.00439998231612937,0.0758015626218611,0.00335909716667121,0.478637297628565,0.0149161166157463
"LUM4347",0.126,0.003,50.43,11.02,500,10,0.01,0.01,0.67,0.02,0.0123,6e-04,0.0067,0.00050615,0.0700901620116816,0.00700901620116816,0.236892503624456,0.00909725037491525,0.103445689288839,0.00296136405005541,0.0771624934757438,0.00224475584079019,0.487590848400721,0.0120704133447805
"LUM4348",0.126,0.003,50.43,11.02,500,10,0.01,0.01,0.87,0.03,0.0081,3e-04,0.006,0.00024595,0.0700901620116816,0.00700901620116816,0.30687532120182,0.0129407464494499,0.131945856767904,0.00439838663096491,0.0991431076857238,0.0033599895145804,0.608054447667129,0.0157233762681789
